nom_fr,nom_en,kcal,proteines,glucides,lipides,categorie
Pork sausages,Pork Sausages,266.0,20.0,1.58,20.0,Viandes
Blanc de Poulet,Blanc de poulet,100.0,21.0,0.5,1.6,Viandes
No Artificial Additives 6 Pork Sausages,No Artificial Additives 6 Pork Sausages,227.0,15.6,0.2,18.0,Viandes
Le Supérieur - à l'Etouffée - Conservation sans Nitrite,Le Supérieur - à l'Etouffée - Conservation sans Nitrite,115.0,22.0,0.5,2.8,Viandes
Le Supérieur -25% de Sel - Conservation sans Nitrite,Le Supérieur -25% de Sel - Conservation sans Nitrite,115.0,22.0,0.5,2.8,Viandes
Pechuga de Pavo Cocida 92%,Pechuga De Pavo Cocida 92%,89.0,19.5,0.0,1.3,Viandes
unsmoked back bacon rashers,unsmoked back bacon rashers,257.0,29.4,1.0,15.1,Viandes
HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,Blanc de poulet,105.6,21.0,0.9,2.0,Viandes
Rôti de Poulet - 100% filet,Fleury-Michon rôti de poulet 100 % filet,110.0,22.0,0.5,2.2,Viandes
Jambon,jamón cocido natural,102.0,19.0,0.9,2.5,Viandes
Filets de maquereau,Filets de maquereau,180.0,30.1,0.6,8.5,Poissons
Filets De Maquereaux,Filets De Maquereaux,180.0,30.1,0.6,6.4,Poissons
Sardines Huile d'Olive Vierge Extra,sardines huile d olive,227.0,23.0,0.0,15.0,Poissons
Isabel Thon,Atun,198.0,27.0,0.0,10.0,Poissons
Joly Thon Entier,Joly Thon Entier,175.0,33.0,0.97,1.1,Poissons
Atun C / Tomate Isabel,Atun C / Tomate Isabel,155.0,17.0,2.7,8.5,Poissons
Miettes de Maquereaux,Miettes de Maquereaux,180.1,30.1,0.6,6.4,Poissons
Thon Joly,Thon Joly,175.0,33.0,0.96,4.4,Poissons
Sardine Nature,Plain Sardines,158.0,22.0,0.0,7.8,Poissons
TAM thon entier a l'huile,TAM thon entier a l'huile,231.0,25.8,0.0,14.2,Poissons
Tesco Free Range Eggs Medium Box Of 6,6 Free Range Eggs,131.0,12.6,0.1,9.0,Œufs
Œufs frais plein air,Œufs frais plein air,140.0,13.0,0.5,9.8,Œufs
10 Œuf frais,10 Œuf frais,140.0,12.0,0.7,9.9,Œufs
Oeufs frais plein air Oméga3 x 12,Oeufs frais plein air Oméga3 x 12,140.0,13.0,0.5,9.8,Œufs
Œufs,Œufs,140.0,12.7,0.27,9.83,Œufs
12 British Free Range Eggs,12 British Free Range Eggs,131.0,13.0,0.5,9.0,Œufs
Stéphanie eleveur,Stéphanie eleveur,140.0,13.0,0.5,9.8,Œufs
Œufs de poules élevées en plein air* *conformément au mode de production biologique,Œufs de poules élevées en plein air* *conformément au mode de production biologique,140.0,13.0,0.5,9.8,Œufs
Œufs bio x6,Œufs bio x6,75.0,0.0,0.0,0.0,Œufs
Free Range Eggs Large Box,Large free range eggs,131.0,12.6,0.1,9.0,Œufs
Beanz In a rich tomato sauce,Baked Beans,81.0,4.82,15.5,0.337,Légumineuses
Chickpeas In Water,Chickpeas In Water,115.0,6.7,13.6,2.2,Légumineuses
Puy Lentils & French green lentils,Puy Lentils & French green lentils,138.0,8.9,18.0,1.7,Légumineuses
Baked Beans,Baked Beans,91.0,4.7,14.5,0.5,Légumineuses
Protein packed lentil cakes,Protein packed lentil cakes,366.0,25.0,58.4,1.8,Légumineuses
Tomatoey French Puy & Green lentils,Tomatoey French Puy & Green lentils,142.0,8.3,16.0,4.1,Légumineuses
Heinz Baked Beans,Heinz Baked Beans,81.0,4.8,15.5,0.5,Légumineuses
Baked Beans in a rich and tasty tomato sauce,Baked Beans,85.0,4.6,12.5,0.6,Légumineuses
Lentilles préparées,Lentilles préparées,91.0,7.0,12.5,0.5,Légumineuses
Greencane Paper Tissues,Chickpeas in water,122.0,7.67,22.8,1.42,Légumineuses
Tonik,tonik,504.0,4.35,71.7,22.2,Céréales
Oat Drink Barista Edition,Oat Drink Barista Edition,61.0,1.1,7.1,3.0,Céréales
Weetabix,Weetabix,358.0,11.8,68.4,2.11,Céréales
Kallo Organic lightly Salted wholegrain low fat Rice Cakes,Organic - Lightly Salted - Wholegrain Low Fat - Rice Cakes imp,386.0,8.57,80.0,2.86,Céréales
Pain de mie grandes tranches Seigle & Graines 500g,Pain de mie grandes tranches Seigle & Graines 500g,297.0,12.0,37.0,9.6,Céréales
cruesly mélange de noix,Cruesli - Mixed Nuts,462.0,8.5,57.0,19.0,Céréales
Avoine Sans Sucres,Ohne zucker hafer,44.0,0.7,5.5,1.8,Céréales
Family Pack,Family Pack,362.0,12.0,69.0,2.0,Céréales
Zarte Haferflocken,Haferflocken,372.0,13.5,58.8,7.0,Céréales
Flocons d'avoine,Flocons d'avoine,362.0,11.0,58.0,7.1,Céréales
Concentré de tomates Aicha,Concentré de tomates Aicha,31.6,1.24,6.41,0.108,Légumes
Tomates cerises allongées,Tomates cerises allongées,0.0,0.0,0.0,0.0,Légumes
Aicha Tomato Paste,Aicha Tomato Paste,117.0,4.6,23.7,0.4,Légumes
Tomates pelées,Chopped Tomatoes,26.0,1.3,4.0,0.2,Légumes
Crema de cacahuete,Smooth Peanut Butter,656.0,29.6,15.9,51.8,Légumes
Italian Tomato Purée Double Concentrate,Italian Tomato Purée Double Concentrate,89.0,4.3,15.3,0.5,Légumes
Italian Chopped Tomatoes,Italian Chopped Tomatoes,25.0,1.4,4.0,0.2,Légumes
Chopped Tomatoes,Chopped Tomatoes,22.0,1.1,3.8,0.1,Légumes
Aubergines cuisinées à la provençale,Aubergines cuisinées à la provençale,83.0,1.8,6.7,5.2,Légumes
Courgettes cuisinées à la provençale,Courgettes cuisinees a la provencale,62.0,1.8,5.5,3.5,Légumes
Aïn Soltane,Aïn Soltane,0.0,0.0,0.0,0.0,Fruits
Cranberriess (séchées/sucrées),Cranberries,338.0,0.7,78.0,1.2,Fruits
Nakd bar Cacao Orange,Cocoa Orange,394.0,8.7,51.0,16.0,Fruits
Fruit and nut muesli,Crownfield Premium Fruit and Nut Muesli,393.0,8.89,60.4,11.6,Fruits
Crème Yaourt Brassé 🍋,Crème Yaourt Brassé 🍋,113.0,4.2,14.9,4.0,Fruits
Assaisonnement aromatise au citron,Assaisonnement aromatise au citron,1.12,0.0,0.14,0.0,Fruits
Organic Mixed Berry Granola,Organic Mixed Berry Granola,441.0,9.7,63.5,14.6,Fruits
Perly façon tarte aux fraises,Perly façon tarte aux fraises,118.0,7.3,13.5,3.9,Fruits
Soft Pitted Dates,Soft Pitted Dates,288.0,2.5,65.2,0.2,Fruits
Compote Pomme Nature,Compote Pomme Nature,55.0,0.3,12.0,0.2,Fruits
