id;muscle_group_en;muscle_group_fr
006b8d06-7616-4dff-963c-29c65ab767de;Legs;Jambes
007de4ef-7565-4c1b-b845-0127b8507621;Full body;Corps complet
0082b05a-57c3-41d2-b544-2c8aac0ff1bb;Legs;Jambes
01e5afea-51be-4955-8366-7cf4e1c9f9a6;Core;Abdos
01f539da-0679-475d-8cdd-8db6864d3981;Arms;Bras
0333c966-1d70-499a-9d06-ecd2fc305633;Full body;Corps complet
03aa2521-4aa5-428a-ad26-1c20ab9a05e7;Legs;Jambes
04285320-1c0b-4c64-8d7e-413d69177852;Legs;Jambes
0560cb68-976d-42b2-9960-6423b564da24;Chest;Pectoraux
05d525e6-cb3d-4f1e-a8af-56cc6eac4a75;Legs;Jambes
061d9d62-aed3-4037-9d6d-123b6071104b;Shoulders;Épaules
068ea600-c599-435c-bfe5-2f23d1d0a122;Arms;Bras
0699f1cf-f589-4754-851b-2895c3b4f051;Back;Dos
06a5e848-0ee0-4618-b103-8276b304d239;Arms;Bras
06e375bc-4570-4883-bef3-f07ba0acacb9;Legs;Jambes
07c57514-c333-4698-a0f5-bd4dda50aa86;Chest;Pectoraux
08179e7e-6a9b-49b3-8e5c-8b9bc427f726;Core;Abdos
082efe4a-c290-4701-99bf-023ad364c618;Legs;Jambes
085d3e21-5696-455e-b268-bd0bae6d8a3d;Chest;Pectoraux
0958dc07-5fd1-499b-bdf4-2993baf5a406;Arms;Bras
0ad86673-1a70-40cf-8c2c-a95eb2e6a6df;Core;Abdos
0b09e154-5d9d-4863-9a06-71a5b60a465d;Back;Dos
0bd0d21f-d2c3-4ebb-ab09-3bb1362229f1;Arms;Bras
0c0556ff-e929-4273-996e-6cc96d799732;Core;Abdos
0c5ba191-8238-4257-9bfc-eadd1ede44fe;Core;Abdos
0c8e5a14-61df-4c60-9f94-b66cc67f016f;Legs;Jambes
0ca7b2c3-a42b-4599-b784-8b2591663aeb;Arms;Bras
0ce3d27d-9b80-4aa2-8ed9-bd0c9b879fd8;Legs;Jambes
0d7c08c6-0df3-42ce-ab91-a1f12770376c;Arms;Bras
0d839ecb-a1aa-4bec-8925-768f0bcd9966;Arms;Bras
0e25e306-8cbd-49d0-9cfd-841ae530c449;Cardio;Cardio
0ee6f440-3bd7-4eb6-9272-0a0759e557ba;Back;Dos
0f09a603-db6e-4f60-bbbf-ce54ea7ad9ed;Legs;Jambes
0f10b2f5-7d76-4948-9a80-c3cd3ed51909;Legs;Jambes
0fb2f471-89b0-49c1-8549-64fe6dc50d9d;Chest;Pectoraux
100d77f6-3d0d-422a-ac79-372e77ccd43b;Chest;Pectoraux
106c437f-d315-4bee-81c5-716fac8d293c;Full body;Corps complet
117a6828-b503-431d-b53e-d4a5a0bd49e2;Arms;Bras
12377a67-8743-44d5-a589-fabe77674d1e;Legs;Jambes
133bbba5-149c-4fb7-9bde-9bb7e49b29f1;Back;Dos
143846bf-dba2-4f8f-8408-63eb1b87c86e;Shoulders;Épaules
149e4125-9306-4b9e-b3ce-710278cf3c48;Arms;Bras
151c5676-f21a-49da-b318-80878b0347f6;Arms;Bras
15922df1-0277-40f1-bf05-b87fa64ea2b0;Legs;Jambes
1689d054-0232-43d5-aaec-3cb0ce6cdb85;Arms;Bras
179f3a2c-5001-453f-bb40-5010a559471b;Legs;Jambes
193c3102-ec99-453e-9f30-3d9489d41b6c;Legs;Jambes
1bfbc465-1d9e-4008-9434-1e61590b7786;Back;Dos
1d22af65-7571-4a9c-82f7-10010e265f50;Back;Dos
1eccbcbe-20b6-4ddc-83c1-1e845bc0949f;Back;Dos
2000ea52-d475-40fc-a1d0-b7d3d8454057;Full body;Corps complet
2060f02b-d362-449f-ae12-257b44ee6ea0;Legs;Jambes
207f4b18-c92e-4bca-b301-fc847064c18f;Core;Abdos
223d75f9-39d0-4572-a01f-0219d44c9ed9;Core;Abdos
22bb2987-318c-48d8-8642-ef3be7044f1a;Chest;Pectoraux
22c1f8cb-fdb5-4166-a3bf-30b33054fca0;Legs;Jambes
22ce9c4f-687b-4b58-aa92-05eb5eeea7c7;Shoulders;Épaules
22d74234-78b3-4a87-a107-7dbadc4a0208;Core;Abdos
234e1b9a-58eb-4d8e-ad0f-cbaa5cdf4ae0;Legs;Jambes
23b4ae74-f61c-45f3-98da-7c3ea0b40718;Cardio;Cardio
23f7c1b1-3b17-4a1c-9924-5fd706a02f10;Shoulders;Épaules
24fbc166-9919-4576-a6c8-3579a22770fb;Chest;Pectoraux
254ca97c-d633-456d-a054-b6620a116ec9;Core;Abdos
